Currency,Rate,extracted_date,data_source
AED,3.6726,2025-11-24 02:20:55,openexchangerates_api
AFN,65.932352,2025-11-24 02:20:55,openexchangerates_api
ALL,83.933998,2025-11-24 02:20:55,openexchangerates_api
AMD,381.762765,2025-11-24 02:20:55,openexchangerates_api
ANG,1.79,2025-11-24 02:20:55,openexchangerates_api
AOA,915.361667,2025-11-24 02:20:55,openexchangerates_api
ARS,1424.43274,2025-11-24 02:20:55,openexchangerates_api
AUD,1.547611,2025-11-24 02:20:55,openexchangerates_api
AWG,1.8,2025-11-24 02:20:55,openexchangerates_api
AZN,1.7,2025-11-24 02:20:55,openexchangerates_api
BAM,1.69848,2025-11-24 02:20:55,openexchangerates_api
BBD,2.0,2025-11-24 02:20:55,openexchangerates_api
BDT,122.501066,2025-11-24 02:20:55,openexchangerates_api
BGN,1.698574,2025-11-24 02:20:55,openexchangerates_api
BHD,0.376726,2025-11-24 02:20:55,openexchangerates_api
BIF,2946.757635,2025-11-24 02:20:55,openexchangerates_api
BMD,1.0,2025-11-24 02:20:55,openexchangerates_api
BND,1.308033,2025-11-24 02:20:55,openexchangerates_api
BOB,6.904907,2025-11-24 02:20:55,openexchangerates_api
BRL,5.404181,2025-11-24 02:20:55,openexchangerates_api
BSD,1.0,2025-11-24 02:20:55,openexchangerates_api
BTC,1.1522312e-05,2025-11-24 02:20:55,openexchangerates_api
BTN,89.421613,2025-11-24 02:20:55,openexchangerates_api
BWP,13.470256,2025-11-24 02:20:55,openexchangerates_api
BYN,3.413461,2025-11-24 02:20:55,openexchangerates_api
BZD,2.00964,2025-11-24 02:20:55,openexchangerates_api
CAD,1.409555,2025-11-24 02:20:55,openexchangerates_api
CDF,2247.863416,2025-11-24 02:20:55,openexchangerates_api
CHF,0.808712,2025-11-24 02:20:55,openexchangerates_api
CLF,0.023938,2025-11-24 02:20:55,openexchangerates_api
CLP,938.291458,2025-11-24 02:20:55,openexchangerates_api
CNH,7.10307,2025-11-24 02:20:55,openexchangerates_api
CNY,7.10715,2025-11-24 02:20:55,openexchangerates_api
COP,3763.578992,2025-11-24 02:20:55,openexchangerates_api
CRC,500.12981,2025-11-24 02:20:55,openexchangerates_api
CUC,1.0,2025-11-24 02:20:55,openexchangerates_api
CUP,25.75,2025-11-24 02:20:55,openexchangerates_api
CVE,95.757724,2025-11-24 02:20:55,openexchangerates_api
CZK,21.0689,2025-11-24 02:20:55,openexchangerates_api
DJF,177.94184,2025-11-24 02:20:55,openexchangerates_api
DKK,6.49049,2025-11-24 02:20:55,openexchangerates_api
DOP,63.074249,2025-11-24 02:20:55,openexchangerates_api
DZD,130.696991,2025-11-24 02:20:55,openexchangerates_api
EGP,47.468335,2025-11-24 02:20:55,openexchangerates_api
ERN,15.0,2025-11-24 02:20:55,openexchangerates_api
ETB,154.668652,2025-11-24 02:20:55,openexchangerates_api
EUR,0.869012,2025-11-24 02:20:55,openexchangerates_api
FJD,2.29305,2025-11-24 02:20:55,openexchangerates_api
FKP,0.763591,2025-11-24 02:20:55,openexchangerates_api
GBP,0.763591,2025-11-24 02:20:55,openexchangerates_api
GEL,2.7,2025-11-24 02:20:55,openexchangerates_api
GGP,0.763591,2025-11-24 02:20:55,openexchangerates_api
GHS,11.111594,2025-11-24 02:20:55,openexchangerates_api
GIP,0.763591,2025-11-24 02:20:55,openexchangerates_api
GMD,73.500003,2025-11-24 02:20:55,openexchangerates_api
GNF,8679.05838,2025-11-24 02:20:55,openexchangerates_api
GTQ,7.656969,2025-11-24 02:20:55,openexchangerates_api
GYD,209.057766,2025-11-24 02:20:55,openexchangerates_api
HKD,7.782584,2025-11-24 02:20:55,openexchangerates_api
HNL,26.297004,2025-11-24 02:20:55,openexchangerates_api
HRK,6.547595,2025-11-24 02:20:55,openexchangerates_api
HTG,130.838029,2025-11-24 02:20:55,openexchangerates_api
HUF,333.7425,2025-11-24 02:20:55,openexchangerates_api
IDR,16689.732999,2025-11-24 02:20:55,openexchangerates_api
ILS,3.28229,2025-11-24 02:20:55,openexchangerates_api
IMP,0.763591,2025-11-24 02:20:55,openexchangerates_api
INR,89.63097,2025-11-24 02:20:55,openexchangerates_api
IQD,1308.989552,2025-11-24 02:20:55,openexchangerates_api
IRR,42100.0,2025-11-24 02:20:55,openexchangerates_api
ISK,127.618113,2025-11-24 02:20:55,openexchangerates_api
JEP,0.763591,2025-11-24 02:20:55,openexchangerates_api
JMD,160.686049,2025-11-24 02:20:55,openexchangerates_api
JOD,0.709,2025-11-24 02:20:55,openexchangerates_api
JPY,156.689,2025-11-24 02:20:55,openexchangerates_api
KES,129.330713,2025-11-24 02:20:55,openexchangerates_api
KGS,87.45,2025-11-24 02:20:55,openexchangerates_api
KHR,3996.490407,2025-11-24 02:20:55,openexchangerates_api
KMF,428.000124,2025-11-24 02:20:55,openexchangerates_api
KPW,900.0,2025-11-24 02:20:55,openexchangerates_api
KRW,1469.732774,2025-11-24 02:20:55,openexchangerates_api
KWD,0.307111,2025-11-24 02:20:55,openexchangerates_api
KYD,0.83274,2025-11-24 02:20:55,openexchangerates_api
KZT,520.243333,2025-11-24 02:20:55,openexchangerates_api
LAK,21696.29194,2025-11-24 02:20:55,openexchangerates_api
LBP,89550.544308,2025-11-24 02:20:55,openexchangerates_api
LKR,307.563946,2025-11-24 02:20:55,openexchangerates_api
LRD,178.869907,2025-11-24 02:20:55,openexchangerates_api
LSL,17.367174,2025-11-24 02:20:55,openexchangerates_api
LYD,5.469388,2025-11-24 02:20:55,openexchangerates_api
MAD,9.286843,2025-11-24 02:20:55,openexchangerates_api
MDL,17.111208,2025-11-24 02:20:55,openexchangerates_api
MGA,4511.516923,2025-11-24 02:20:55,openexchangerates_api
MKD,53.430309,2025-11-24 02:20:55,openexchangerates_api
MMK,2099.7,2025-11-24 02:20:55,openexchangerates_api
MNT,3582.15,2025-11-24 02:20:55,openexchangerates_api
MOP,8.01294,2025-11-24 02:20:55,openexchangerates_api
MRU,39.64068,2025-11-24 02:20:55,openexchangerates_api
MUR,46.177998,2025-11-24 02:20:55,openexchangerates_api
MVR,15.4,2025-11-24 02:20:55,openexchangerates_api
MWK,1732.700148,2025-11-24 02:20:55,openexchangerates_api
MXN,18.476959,2025-11-24 02:20:55,openexchangerates_api
MYR,4.1675,2025-11-24 02:20:55,openexchangerates_api
MZN,63.909994,2025-11-24 02:20:55,openexchangerates_api
NAD,17.367174,2025-11-24 02:20:55,openexchangerates_api
NGN,1453.379849,2025-11-24 02:20:55,openexchangerates_api
NIO,36.769433,2025-11-24 02:20:55,openexchangerates_api
NOK,10.24334,2025-11-24 02:20:55,openexchangerates_api
NPR,143.074275,2025-11-24 02:20:55,openexchangerates_api
NZD,1.781833,2025-11-24 02:20:55,openexchangerates_api
OMR,0.384408,2025-11-24 02:20:55,openexchangerates_api
PAB,1.0,2025-11-24 02:20:55,openexchangerates_api
PEN,3.377421,2025-11-24 02:20:55,openexchangerates_api
PGK,4.228397,2025-11-24 02:20:55,openexchangerates_api
PHP,58.787428,2025-11-24 02:20:55,openexchangerates_api
PKR,282.357199,2025-11-24 02:20:55,openexchangerates_api
PLN,3.682897,2025-11-24 02:20:55,openexchangerates_api
PYG,7010.00396,2025-11-24 02:20:55,openexchangerates_api
QAR,3.641343,2025-11-24 02:20:55,openexchangerates_api
RON,4.4198,2025-11-24 02:20:55,openexchangerates_api
RSD,101.875813,2025-11-24 02:20:55,openexchangerates_api
RUB,79.05313,2025-11-24 02:20:55,openexchangerates_api
RWF,1452.887358,2025-11-24 02:20:55,openexchangerates_api
SAR,3.7505,2025-11-24 02:20:55,openexchangerates_api
SBD,8.230592,2025-11-24 02:20:55,openexchangerates_api
SCR,13.944854,2025-11-24 02:20:55,openexchangerates_api
SDG,601.5,2025-11-24 02:20:55,openexchangerates_api
SEK,9.544623,2025-11-24 02:20:55,openexchangerates_api
SGD,1.307237,2025-11-24 02:20:55,openexchangerates_api
SHP,0.763591,2025-11-24 02:20:55,openexchangerates_api
SLE,23.375,2025-11-24 02:20:55,openexchangerates_api
SLL,20969.5,2025-11-24 02:20:55,openexchangerates_api
SOS,570.039072,2025-11-24 02:20:55,openexchangerates_api
SRD,38.5525,2025-11-24 02:20:55,openexchangerates_api
SSP,130.26,2025-11-24 02:20:55,openexchangerates_api
STD,22281.8,2025-11-24 02:20:55,openexchangerates_api
STN,21.392731,2025-11-24 02:20:55,openexchangerates_api
SVC,8.743378,2025-11-24 02:20:55,openexchangerates_api
SYP,13002.0,2025-11-24 02:20:55,openexchangerates_api
SZL,17.363439,2025-11-24 02:20:55,openexchangerates_api
THB,32.511677,2025-11-24 02:20:55,openexchangerates_api
TJS,9.21789,2025-11-24 02:20:55,openexchangerates_api
TMT,3.51,2025-11-24 02:20:55,openexchangerates_api
TND,2.95007,2025-11-24 02:20:55,openexchangerates_api
TOP,2.40776,2025-11-24 02:20:55,openexchangerates_api
TRY,42.435833,2025-11-24 02:20:55,openexchangerates_api
TTD,6.789405,2025-11-24 02:20:55,openexchangerates_api
TWD,31.353099,2025-11-24 02:20:55,openexchangerates_api
TZS,2458.099475,2025-11-24 02:20:55,openexchangerates_api
UAH,42.267218,2025-11-24 02:20:55,openexchangerates_api
UGX,3631.775014,2025-11-24 02:20:55,openexchangerates_api
USD,1.0,2025-11-24 02:20:55,openexchangerates_api
UYU,39.747588,2025-11-24 02:20:55,openexchangerates_api
UZS,11961.793458,2025-11-24 02:20:55,openexchangerates_api
VES,241.175926,2025-11-24 02:20:55,openexchangerates_api
VND,26353.933782,2025-11-24 02:20:55,openexchangerates_api
VUV,122.16,2025-11-24 02:20:55,openexchangerates_api
WST,2.816,2025-11-24 02:20:55,openexchangerates_api
XAF,570.034305,2025-11-24 02:20:55,openexchangerates_api
XAG,0.01994888,2025-11-24 02:20:55,openexchangerates_api
XAU,0.00024539,2025-11-24 02:20:55,openexchangerates_api
XCD,2.70255,2025-11-24 02:20:55,openexchangerates_api
XCG,1.800868,2025-11-24 02:20:55,openexchangerates_api
XDR,0.708467,2025-11-24 02:20:55,openexchangerates_api
XOF,570.034305,2025-11-24 02:20:55,openexchangerates_api
XPD,0.00072052,2025-11-24 02:20:55,openexchangerates_api
XPF,103.70068,2025-11-24 02:20:55,openexchangerates_api
XPT,0.00065822,2025-11-24 02:20:55,openexchangerates_api
YER,238.500107,2025-11-24 02:20:55,openexchangerates_api
ZAR,17.371115,2025-11-24 02:20:55,openexchangerates_api
ZMW,23.056883,2025-11-24 02:20:55,openexchangerates_api
ZWG,26.407,2025-11-24 02:20:55,openexchangerates_api
ZWL,322.0,2025-11-24 02:20:55,openexchangerates_api
