order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extracted_date,data_source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2025-11-24 02:06:42,mysql_database
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2025-11-24 02:06:42,mysql_database
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2025-11-24 02:06:42,mysql_database
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2025-11-24 02:06:42,mysql_database
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2025-11-24 02:06:42,mysql_database
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,2025-11-24 02:06:42,mysql_database
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,2025-11-24 02:06:42,mysql_database
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,2025-11-24 02:06:42,mysql_database
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,2025-11-24 02:06:42,mysql_database
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,2025-11-24 02:06:42,mysql_database
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,2025-11-24 02:06:42,mysql_database
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,2025-11-24 02:06:42,mysql_database
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2025-11-24 02:06:42,mysql_database
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2025-11-24 02:06:42,mysql_database
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2025-11-24 02:06:42,mysql_database
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2025-11-24 02:06:42,mysql_database
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2025-11-24 02:06:42,mysql_database
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2025-11-24 02:06:42,mysql_database
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2025-11-24 02:06:42,mysql_database
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2025-11-24 02:06:42,mysql_database
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2025-11-24 02:06:42,mysql_database
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2025-11-24 02:06:42,mysql_database
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2025-11-24 02:06:42,mysql_database
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2025-11-24 02:06:42,mysql_database
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2025-11-24 02:06:42,mysql_database
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2025-11-24 02:06:42,mysql_database
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,2025-11-24 02:06:42,mysql_database
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,2025-11-24 02:06:42,mysql_database
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,2025-11-24 02:06:42,mysql_database
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,2025-11-24 02:06:42,mysql_database
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2025-11-24 02:06:42,mysql_database
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,2025-11-24 02:06:42,mysql_database
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,2025-11-24 02:06:42,mysql_database
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,2025-11-24 02:06:42,mysql_database
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,2025-11-24 02:06:42,mysql_database
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,2025-11-24 02:06:42,mysql_database
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,2025-11-24 02:06:42,mysql_database
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,2025-11-24 02:06:42,mysql_database
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,2025-11-24 02:06:42,mysql_database
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,2025-11-24 02:06:42,mysql_database
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,2025-11-24 02:06:42,mysql_database
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,2025-11-24 02:06:42,mysql_database
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,2025-11-24 02:06:42,mysql_database
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,2025-11-24 02:06:42,mysql_database
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,2025-11-24 02:06:42,mysql_database
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,2025-11-24 02:06:42,mysql_database
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2025-11-24 02:06:42,mysql_database
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,2025-11-24 02:06:42,mysql_database
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,2025-11-24 02:06:42,mysql_database
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,2025-11-24 02:06:42,mysql_database
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,2025-11-24 02:06:42,mysql_database
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,2025-11-24 02:06:42,mysql_database
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,2025-11-24 02:06:42,mysql_database
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,2025-11-24 02:06:42,mysql_database
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,2025-11-24 02:06:42,mysql_database
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,2025-11-24 02:06:42,mysql_database
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,2025-11-24 02:06:42,mysql_database
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,2025-11-24 02:06:42,mysql_database
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,2025-11-24 02:06:42,mysql_database
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,2025-11-24 02:06:42,mysql_database
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,2025-11-24 02:06:42,mysql_database
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,2025-11-24 02:06:42,mysql_database
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,2025-11-24 02:06:42,mysql_database
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,2025-11-24 02:06:42,mysql_database
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,2025-11-24 02:06:42,mysql_database
70,50,3,2016-02-11,2016-02-11,,3,9,2025-11-24 02:06:42,mysql_database
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,2025-11-24 02:06:42,mysql_database
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,2025-11-24 02:06:42,mysql_database
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,2025-11-24 02:06:42,mysql_database
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,2025-11-24 02:06:42,mysql_database
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,2025-11-24 02:06:42,mysql_database
76,9,3,2016-02-16,2016-02-16,,2,6,2025-11-24 02:06:42,mysql_database
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,2025-11-24 02:06:42,mysql_database
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,2025-11-24 02:06:42,mysql_database
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,2025-11-24 02:06:42,mysql_database
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,2025-11-24 02:06:42,mysql_database
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,2025-11-24 02:06:42,mysql_database
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,2025-11-24 02:06:42,mysql_database
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,2025-11-24 02:06:42,mysql_database
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,2025-11-24 02:06:42,mysql_database
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,2025-11-24 02:06:42,mysql_database
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,2025-11-24 02:06:42,mysql_database
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,2025-11-24 02:06:42,mysql_database
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,2025-11-24 02:06:42,mysql_database
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,2025-11-24 02:06:42,mysql_database
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,2025-11-24 02:06:42,mysql_database
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,2025-11-24 02:06:42,mysql_database
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,2025-11-24 02:06:42,mysql_database
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,2025-11-24 02:06:42,mysql_database
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,2025-11-24 02:06:42,mysql_database
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,2025-11-24 02:06:42,mysql_database
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,2025-11-24 02:06:42,mysql_database
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,2025-11-24 02:06:42,mysql_database
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,2025-11-24 02:06:42,mysql_database
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,2025-11-24 02:06:42,mysql_database
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,2025-11-24 02:06:42,mysql_database
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,2025-11-24 02:06:42,mysql_database
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,2025-11-24 02:06:42,mysql_database
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,2025-11-24 02:06:42,mysql_database
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,2025-11-24 02:06:42,mysql_database
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,2025-11-24 02:06:42,mysql_database
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,2025-11-24 02:06:42,mysql_database
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,2025-11-24 02:06:42,mysql_database
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,2025-11-24 02:06:42,mysql_database
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,2025-11-24 02:06:42,mysql_database
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,2025-11-24 02:06:42,mysql_database
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,2025-11-24 02:06:42,mysql_database
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,2025-11-24 02:06:42,mysql_database
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,2025-11-24 02:06:42,mysql_database
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,2025-11-24 02:06:42,mysql_database
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,2025-11-24 02:06:42,mysql_database
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,2025-11-24 02:06:42,mysql_database
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,2025-11-24 02:06:42,mysql_database
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,2025-11-24 02:06:42,mysql_database
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,2025-11-24 02:06:42,mysql_database
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,2025-11-24 02:06:42,mysql_database
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,2025-11-24 02:06:42,mysql_database
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,2025-11-24 02:06:42,mysql_database
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,2025-11-24 02:06:42,mysql_database
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,2025-11-24 02:06:42,mysql_database
125,685,4,2016-03-16,2016-03-19,2016-03-17,2,6,2025-11-24 02:06:42,mysql_database
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7,2025-11-24 02:06:42,mysql_database
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8,2025-11-24 02:06:42,mysql_database
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6,2025-11-24 02:06:42,mysql_database
129,84,4,2016-03-19,2016-03-21,2016-03-21,2,7,2025-11-24 02:06:42,mysql_database
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6,2025-11-24 02:06:42,mysql_database
131,316,4,2016-03-19,2016-03-22,2016-03-20,3,8,2025-11-24 02:06:42,mysql_database
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3,2025-11-24 02:06:42,mysql_database
133,409,4,2016-03-20,2016-03-22,2016-03-21,2,7,2025-11-24 02:06:42,mysql_database
134,679,4,2016-03-20,2016-03-21,2016-03-21,2,7,2025-11-24 02:06:42,mysql_database
135,1354,4,2016-03-21,2016-03-23,2016-03-23,2,7,2025-11-24 02:06:42,mysql_database
136,1192,4,2016-03-21,2016-03-24,2016-03-23,3,8,2025-11-24 02:06:42,mysql_database
137,370,4,2016-03-23,2016-03-26,2016-03-25,2,7,2025-11-24 02:06:42,mysql_database
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7,2025-11-24 02:06:42,mysql_database
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7,2025-11-24 02:06:42,mysql_database
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7,2025-11-24 02:06:42,mysql_database
141,557,4,2016-03-25,2016-03-27,2016-03-26,2,7,2025-11-24 02:06:42,mysql_database
142,170,4,2016-03-26,2016-03-27,2016-03-27,1,3,2025-11-24 02:06:42,mysql_database
143,693,4,2016-03-26,2016-03-28,2016-03-28,2,7,2025-11-24 02:06:42,mysql_database
144,1124,4,2016-03-26,2016-03-29,2016-03-29,2,7,2025-11-24 02:06:42,mysql_database
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6,2025-11-24 02:06:42,mysql_database
146,288,4,2016-03-28,2016-03-30,2016-03-30,1,3,2025-11-24 02:06:42,mysql_database
147,55,4,2016-03-28,2016-03-31,2016-03-31,2,7,2025-11-24 02:06:42,mysql_database
148,714,4,2016-03-28,2016-03-30,2016-03-30,2,6,2025-11-24 02:06:42,mysql_database
149,763,4,2016-03-28,2016-03-30,2016-03-29,2,6,2025-11-24 02:06:42,mysql_database
150,332,4,2016-03-29,2016-03-31,2016-04-01,1,2,2025-11-24 02:06:42,mysql_database
151,926,4,2016-03-29,2016-04-01,2016-03-31,1,2,2025-11-24 02:06:42,mysql_database
152,76,4,2016-03-29,2016-03-30,2016-03-30,2,6,2025-11-24 02:06:42,mysql_database
153,498,4,2016-03-30,2016-04-02,2016-04-01,2,6,2025-11-24 02:06:42,mysql_database
154,1286,4,2016-03-31,2016-04-01,2016-04-01,1,2,2025-11-24 02:06:42,mysql_database
155,371,4,2016-04-02,2016-04-03,2016-04-04,2,6,2025-11-24 02:06:42,mysql_database
156,357,4,2016-04-03,2016-04-06,2016-04-05,1,3,2025-11-24 02:06:42,mysql_database
157,43,4,2016-04-03,2016-04-06,2016-04-06,3,8,2025-11-24 02:06:42,mysql_database
158,117,3,2016-04-04,2016-04-04,,3,9,2025-11-24 02:06:42,mysql_database
159,32,4,2016-04-04,2016-04-06,2016-04-06,1,2,2025-11-24 02:06:42,mysql_database
160,205,4,2016-04-04,2016-04-06,2016-04-06,2,7,2025-11-24 02:06:42,mysql_database
161,251,4,2016-04-04,2016-04-07,2016-04-05,2,7,2025-11-24 02:06:42,mysql_database
162,31,4,2016-04-06,2016-04-08,2016-04-07,1,3,2025-11-24 02:06:42,mysql_database
163,1325,4,2016-04-06,2016-04-07,2016-04-07,2,7,2025-11-24 02:06:42,mysql_database
164,610,4,2016-04-07,2016-04-08,2016-04-09,2,7,2025-11-24 02:06:42,mysql_database
165,574,4,2016-04-08,2016-04-10,2016-04-10,1,3,2025-11-24 02:06:42,mysql_database
166,338,4,2016-04-08,2016-04-11,2016-04-11,2,6,2025-11-24 02:06:42,mysql_database
167,1034,4,2016-04-08,2016-04-09,2016-04-11,2,7,2025-11-24 02:06:42,mysql_database
168,1147,4,2016-04-09,2016-04-12,2016-04-11,1,3,2025-11-24 02:06:42,mysql_database
169,99,4,2016-04-10,2016-04-11,2016-04-11,2,7,2025-11-24 02:06:42,mysql_database
170,1200,4,2016-04-10,2016-04-11,2016-04-13,2,7,2025-11-24 02:06:42,mysql_database
171,237,4,2016-04-11,2016-04-14,2016-04-14,1,3,2025-11-24 02:06:42,mysql_database
172,1079,4,2016-04-11,2016-04-12,2016-04-14,2,7,2025-11-24 02:06:42,mysql_database
173,117,4,2016-04-11,2016-04-14,2016-04-13,3,8,2025-11-24 02:06:42,mysql_database
174,1361,4,2016-04-12,2016-04-13,2016-04-15,2,7,2025-11-24 02:06:42,mysql_database
175,951,4,2016-04-13,2016-04-14,2016-04-14,2,6,2025-11-24 02:06:42,mysql_database
176,643,4,2016-04-15,2016-04-16,2016-04-17,2,7,2025-11-24 02:06:42,mysql_database
177,121,4,2016-04-16,2016-04-19,2016-04-19,1,2,2025-11-24 02:06:42,mysql_database
178,756,4,2016-04-16,2016-04-17,2016-04-18,2,6,2025-11-24 02:06:42,mysql_database
179,616,4,2016-04-17,2016-04-19,2016-04-19,2,6,2025-11-24 02:06:42,mysql_database
180,918,4,2016-04-17,2016-04-20,2016-04-19,2,7,2025-11-24 02:06:42,mysql_database
181,459,4,2016-04-18,2016-04-20,2016-04-20,1,3,2025-11-24 02:06:42,mysql_database
182,854,4,2016-04-18,2016-04-19,2016-04-20,2,6,2025-11-24 02:06:42,mysql_database
183,22,4,2016-04-19,2016-04-20,2016-04-20,2,7,2025-11-24 02:06:42,mysql_database
184,134,4,2016-04-19,2016-04-21,2016-04-22,2,7,2025-11-24 02:06:42,mysql_database
185,24,3,2016-04-20,2016-04-20,,1,2,2025-11-24 02:06:42,mysql_database
186,1127,4,2016-04-21,2016-04-22,2016-04-24,2,6,2025-11-24 02:06:42,mysql_database
187,183,4,2016-04-22,2016-04-23,2016-04-24,2,6,2025-11-24 02:06:42,mysql_database
188,390,4,2016-04-22,2016-04-23,2016-04-25,2,6,2025-11-24 02:06:42,mysql_database
189,1288,4,2016-04-23,2016-04-24,2016-04-26,1,2,2025-11-24 02:06:42,mysql_database
190,98,4,2016-04-23,2016-04-25,2016-04-25,2,6,2025-11-24 02:06:42,mysql_database
191,919,4,2016-04-27,2016-04-28,2016-04-28,1,2,2025-11-24 02:06:42,mysql_database
192,728,4,2016-04-27,2016-04-28,2016-04-29,2,7,2025-11-24 02:06:42,mysql_database
193,1366,4,2016-04-28,2016-04-30,2016-04-30,1,3,2025-11-24 02:06:42,mysql_database
194,558,4,2016-04-28,2016-04-30,2016-05-01,2,7,2025-11-24 02:06:42,mysql_database
195,727,4,2016-04-28,2016-05-01,2016-05-01,2,7,2025-11-24 02:06:42,mysql_database
196,1247,4,2016-04-28,2016-04-30,2016-05-01,2,6,2025-11-24 02:06:42,mysql_database
197,127,4,2016-04-30,2016-05-03,2016-05-03,2,7,2025-11-24 02:06:42,mysql_database
198,640,4,2016-05-01,2016-05-04,2016-05-03,2,6,2025-11-24 02:06:42,mysql_database
199,760,4,2016-05-01,2016-05-04,2016-05-04,2,7,2025-11-24 02:06:42,mysql_database
200,1074,4,2016-05-01,2016-05-03,2016-05-03,2,6,2025-11-24 02:06:42,mysql_database
201,280,4,2016-05-01,2016-05-04,2016-05-02,3,9,2025-11-24 02:06:42,mysql_database
202,600,4,2016-05-03,2016-05-05,2016-05-04,1,2,2025-11-24 02:06:42,mysql_database
