order_item_id,order_id,item_id,order_status,brand_id,customer_id,category_id,store_id,staff_id,product_id,required_date,shipped_date,order_date,region_id,latency_days,Late_Deliveries,Locality_Flag,quantity,list_price,local_price,discount,total_amount_US,total_amount_EG
1,1,1,4,1,259,3,1,2,20,20160103,20160103.0,20160101,137,2.0,0,Non local,1,599.99,28480.53,0.2,120.0,5696.11
2,1,2,4,9,259,6,1,2,8,20160103,20160103.0,20160101,137,2.0,0,Non local,2,1799.99,85442.53,0.07,252.0,11961.95
3,1,3,4,8,259,4,1,2,10,20160103,20160103.0,20160101,137,2.0,0,Non local,2,1549.0,73528.45,0.05,154.9,7352.85
4,1,4,4,1,259,3,1,2,16,20160103,20160103.0,20160101,137,2.0,0,Non local,2,599.99,28480.53,0.05,60.0,2848.05
5,1,5,4,9,259,6,1,2,4,20160103,20160103.0,20160101,137,2.0,0,Non local,1,2899.99,137657.7,0.2,580.0,27531.54
6,2,1,4,1,1212,3,2,6,20,20160104,20160103.0,20160101,66,2.0,0,Non local,1,599.99,28480.53,0.07,42.0,1993.64
7,2,2,4,1,1212,3,2,6,16,20160104,20160103.0,20160101,66,2.0,0,Non local,2,599.99,28480.53,0.05,60.0,2848.05
8,3,1,4,8,523,6,2,7,3,20160105,20160103.0,20160102,126,1.0,0,Non local,1,999.99,47467.86,0.05,50.0,2373.39
9,3,2,4,1,523,3,2,7,20,20160105,20160103.0,20160102,126,1.0,0,Non local,1,599.99,28480.53,0.05,30.0,1424.03
10,4,1,4,5,175,6,1,3,2,20160104,20160105.0,20160103,68,2.0,1,Non local,2,749.99,35600.78,0.1,150.0,7120.16
11,5,1,4,8,1324,4,2,6,10,20160106,20160106.0,20160103,47,3.0,0,Non local,2,1549.0,73528.45,0.05,154.9,7352.85
12,5,2,4,4,1324,3,2,6,17,20160106,20160106.0,20160103,47,3.0,0,Non local,1,429.0,20363.92,0.07,30.03,1425.47
13,5,3,4,1,1324,2,2,6,26,20160106,20160106.0,20160103,47,3.0,0,Non local,1,599.99,28480.53,0.07,42.0,1993.64
14,6,1,4,4,94,3,2,6,18,20160107,20160105.0,20160104,32,1.0,0,Non local,1,449.0,21313.28,0.07,31.43,1491.93
15,6,2,4,1,94,3,2,6,12,20160107,20160105.0,20160104,32,1.0,0,Non local,2,549.99,26107.11,0.05,55.0,2610.71
16,6,3,4,1,94,3,2,6,20,20160107,20160105.0,20160104,32,1.0,0,Non local,1,599.99,28480.53,0.1,60.0,2848.05
17,6,4,4,8,94,6,2,6,3,20160107,20160105.0,20160104,32,1.0,0,Non local,2,999.99,47467.86,0.07,140.0,6645.5
18,6,5,4,9,94,5,2,6,9,20160107,20160105.0,20160104,32,1.0,0,Non local,2,2999.99,142404.53,0.07,420.0,19936.63
19,7,1,4,1,324,3,2,6,15,20160107,20160105.0,20160104,139,1.0,0,Non local,1,529.99,25157.74,0.07,37.1,1761.04
20,7,2,4,8,324,6,2,6,3,20160107,20160105.0,20160104,139,1.0,0,Non local,1,999.99,47467.86,0.1,100.0,4746.79
21,7,3,4,4,324,3,2,6,17,20160107,20160105.0,20160104,139,1.0,0,Non local,2,429.0,20363.92,0.1,85.8,4072.78
22,8,1,4,1,1204,1,2,7,22,20160105,20160105.0,20160104,74,1.0,0,Non local,1,269.99,12815.98,0.05,13.5,640.8
23,8,2,4,1,1204,3,2,7,20,20160105,20160105.0,20160104,74,1.0,0,Non local,2,599.99,28480.53,0.07,84.0,3987.27
24,9,1,4,9,60,6,1,2,7,20160108,20160108.0,20160105,51,3.0,0,Non local,2,3999.99,189872.87,0.1,800.0,37974.57
25,10,1,4,1,442,3,2,6,14,20160106,20160106.0,20160105,166,1.0,0,Non local,1,269.99,12815.98,0.1,27.0,1281.6
26,11,1,4,9,1326,6,2,7,8,20160108,20160107.0,20160105,181,2.0,0,Non local,1,1799.99,85442.53,0.05,90.0,4272.13
27,11,2,4,1,1326,1,2,7,22,20160108,20160107.0,20160105,181,2.0,0,Non local,2,269.99,12815.98,0.1,54.0,2563.2
28,11,3,4,1,1326,3,2,7,16,20160108,20160107.0,20160105,181,2.0,0,Non local,2,599.99,28480.53,0.2,240.0,11392.21
29,12,1,4,9,91,6,1,2,4,20160108,20160109.0,20160106,71,3.0,1,Non local,2,2899.99,137657.7,0.1,580.0,27531.54
30,12,2,4,8,91,4,1,2,11,20160108,20160109.0,20160106,71,3.0,1,Non local,1,1680.99,79793.8,0.05,84.05,3989.69
31,13,1,4,1,873,3,2,6,13,20160111,20160111.0,20160108,134,3.0,0,Non local,1,269.99,12815.98,0.1,27.0,1281.6
32,13,2,4,4,873,3,2,6,17,20160111,20160111.0,20160108,134,3.0,0,Non local,2,429.0,20363.92,0.05,42.9,2036.39
33,13,3,4,1,873,3,2,6,20,20160111,20160111.0,20160108,134,3.0,0,Non local,2,599.99,28480.53,0.1,120.0,5696.11
34,13,4,4,1,873,3,2,6,16,20160111,20160111.0,20160108,134,3.0,0,Non local,2,599.99,28480.53,0.05,60.0,2848.05
35,14,1,4,8,258,6,1,3,6,20160111,20160112.0,20160109,28,3.0,1,Non local,1,469.99,22309.64,0.07,32.9,1561.67
36,15,1,4,1,450,3,2,7,12,20160110,20160112.0,20160109,163,3.0,1,Non local,2,549.99,26107.11,0.07,77.0,3655.0
37,15,2,4,9,450,6,2,7,8,20160110,20160112.0,20160109,163,3.0,1,Non local,1,1799.99,85442.53,0.07,126.0,5980.98
38,15,3,4,4,450,3,2,7,18,20160110,20160112.0,20160109,163,3.0,1,Non local,2,449.0,21313.28,0.05,44.9,2131.33
39,15,4,4,1,450,1,2,7,23,20160110,20160112.0,20160109,163,3.0,1,Non local,2,299.99,14240.03,0.2,120.0,5696.01
40,16,1,4,9,552,6,1,3,8,20160115,20160115.0,20160112,105,3.0,0,Non local,1,1799.99,85442.53,0.2,360.0,17088.51
41,16,2,4,1,552,1,1,3,21,20160115,20160115.0,20160112,105,3.0,0,Non local,1,269.99,12815.98,0.05,13.5,640.8
42,16,3,4,1,552,3,1,3,13,20160115,20160115.0,20160112,105,3.0,0,Non local,2,269.99,12815.98,0.07,37.8,1794.24
43,16,4,4,1,552,3,1,3,14,20160115,20160115.0,20160112,105,3.0,0,Non local,1,269.99,12815.98,0.07,18.9,897.12
44,17,1,4,9,1175,6,1,3,8,20160114,20160114.0,20160112,154,2.0,0,Non local,1,1799.99,85442.53,0.07,126.0,5980.98
45,17,2,4,1,1175,1,1,3,23,20160114,20160114.0,20160112,154,2.0,0,Non local,1,299.99,14240.03,0.1,30.0,1424.0
46,17,3,4,3,1175,6,1,3,5,20160114,20160114.0,20160112,154,2.0,0,Non local,1,1320.99,62705.2,0.1,132.1,6270.52
47,17,4,4,1,1175,3,1,3,20,20160114,20160114.0,20160112,154,2.0,0,Non local,2,599.99,28480.53,0.2,240.0,11392.21
48,18,1,4,5,541,6,1,3,2,20160117,20160115.0,20160114,64,1.0,0,Non local,2,749.99,35600.78,0.2,300.0,14240.31
49,18,2,4,1,541,1,1,3,22,20160117,20160115.0,20160114,64,1.0,0,Non local,1,269.99,12815.98,0.05,13.5,640.8
50,18,3,4,9,541,6,1,3,7,20160117,20160115.0,20160114,64,1.0,0,Non local,1,3999.99,189872.87,0.1,400.0,18987.29
51,18,4,4,1,541,2,1,3,25,20160117,20160115.0,20160114,64,1.0,0,Non local,2,499.99,23733.69,0.05,50.0,2373.37
52,18,5,4,9,541,5,1,3,9,20160117,20160115.0,20160114,64,1.0,0,Non local,2,2999.99,142404.53,0.1,600.0,28480.91
53,19,1,4,8,696,4,1,2,10,20160117,20160116.0,20160114,37,2.0,0,Non local,1,1549.0,73528.45,0.07,108.43,5146.99
54,19,2,4,9,696,5,1,2,9,20160117,20160116.0,20160114,37,2.0,0,Non local,2,2999.99,142404.53,0.2,1200.0,56961.81
55,20,1,4,9,923,5,1,2,9,20160116,20160117.0,20160114,132,3.0,1,Non local,1,2999.99,142404.53,0.07,210.0,9968.32
56,20,2,4,8,923,4,1,2,10,20160116,20160117.0,20160114,132,3.0,1,Non local,2,1549.0,73528.45,0.07,216.86,10293.98
57,21,1,4,1,1250,3,2,6,14,20160116,20160118.0,20160115,152,3.0,1,Non local,1,269.99,12815.98,0.05,13.5,640.8
58,21,2,4,4,1250,3,2,6,17,20160116,20160118.0,20160115,152,3.0,1,Non local,1,429.0,20363.92,0.1,42.9,2036.39
59,21,3,4,8,1250,4,2,6,10,20160116,20160118.0,20160115,152,3.0,1,Non local,1,1549.0,73528.45,0.07,108.43,5146.99
60,22,1,4,1,1035,3,1,2,15,20160118,20160117.0,20160116,2,1.0,0,Non local,2,529.99,25157.74,0.2,212.0,10063.1
61,22,2,4,1,1035,1,1,2,22,20160118,20160117.0,20160116,2,1.0,0,Non local,1,269.99,12815.98,0.05,13.5,640.8
62,23,1,4,9,1149,6,1,2,4,20160119,20160119.0,20160116,109,3.0,0,Non local,2,2899.99,137657.7,0.05,290.0,13765.77
63,23,2,4,1,1149,1,1,2,23,20160119,20160119.0,20160116,109,3.0,0,Non local,2,299.99,14240.03,0.1,60.0,2848.01
64,23,3,4,1,1149,3,1,2,13,20160119,20160119.0,20160116,109,3.0,0,Non local,1,269.99,12815.98,0.2,54.0,2563.2
65,24,1,4,8,636,6,2,7,3,20160120,20160119.0,20160118,81,1.0,0,Non local,2,999.99,47467.86,0.1,200.0,9493.57
66,24,2,4,4,636,3,2,7,18,20160120,20160119.0,20160118,81,1.0,0,Non local,2,449.0,21313.28,0.07,62.86,2983.86
67,25,1,4,1,657,1,2,6,23,20160121,20160121.0,20160118,63,3.0,0,local,2,299.99,14240.03,0.2,120.0,5696.01
68,25,2,4,8,657,4,2,6,10,20160121,20160121.0,20160118,63,3.0,0,local,2,1549.0,73528.45,0.2,619.6,29411.38
69,25,3,4,1,657,1,2,6,22,20160121,20160121.0,20160118,63,3.0,0,local,1,269.99,12815.98,0.2,54.0,2563.2
70,25,4,4,1,657,3,2,6,14,20160121,20160121.0,20160118,63,3.0,0,local,1,269.99,12815.98,0.2,54.0,2563.2
71,25,5,4,1,657,1,2,6,21,20160121,20160121.0,20160118,63,3.0,0,local,1,269.99,12815.98,0.1,27.0,1281.6
