,Currency,Rate,extracted_date,data_source
0,AED,3.6726,2025-11-24 02:20:55,openexchangerates_api
1,AFN,65.932352,2025-11-24 02:20:55,openexchangerates_api
2,ALL,83.933998,2025-11-24 02:20:55,openexchangerates_api
3,AMD,381.762765,2025-11-24 02:20:55,openexchangerates_api
4,ANG,1.79,2025-11-24 02:20:55,openexchangerates_api
5,AOA,915.361667,2025-11-24 02:20:55,openexchangerates_api
6,ARS,1424.43274,2025-11-24 02:20:55,openexchangerates_api
7,AUD,1.547611,2025-11-24 02:20:55,openexchangerates_api
8,AWG,1.8,2025-11-24 02:20:55,openexchangerates_api
9,AZN,1.7,2025-11-24 02:20:55,openexchangerates_api
10,BAM,1.69848,2025-11-24 02:20:55,openexchangerates_api
11,BBD,2.0,2025-11-24 02:20:55,openexchangerates_api
12,BDT,122.501066,2025-11-24 02:20:55,openexchangerates_api
13,BGN,1.698574,2025-11-24 02:20:55,openexchangerates_api
14,BHD,0.376726,2025-11-24 02:20:55,openexchangerates_api
15,BIF,2946.757635,2025-11-24 02:20:55,openexchangerates_api
16,BMD,1.0,2025-11-24 02:20:55,openexchangerates_api
17,BND,1.308033,2025-11-24 02:20:55,openexchangerates_api
18,BOB,6.904907,2025-11-24 02:20:55,openexchangerates_api
19,BRL,5.404181,2025-11-24 02:20:55,openexchangerates_api
20,BSD,1.0,2025-11-24 02:20:55,openexchangerates_api
21,BTC,1.1522312e-05,2025-11-24 02:20:55,openexchangerates_api
22,BTN,89.421613,2025-11-24 02:20:55,openexchangerates_api
23,BWP,13.470256,2025-11-24 02:20:55,openexchangerates_api
24,BYN,3.413461,2025-11-24 02:20:55,openexchangerates_api
25,BZD,2.00964,2025-11-24 02:20:55,openexchangerates_api
26,CAD,1.409555,2025-11-24 02:20:55,openexchangerates_api
27,CDF,2247.863416,2025-11-24 02:20:55,openexchangerates_api
28,CHF,0.808712,2025-11-24 02:20:55,openexchangerates_api
29,CLF,0.023938,2025-11-24 02:20:55,openexchangerates_api
30,CLP,938.291458,2025-11-24 02:20:55,openexchangerates_api
31,CNH,7.10307,2025-11-24 02:20:55,openexchangerates_api
32,CNY,7.10715,2025-11-24 02:20:55,openexchangerates_api
33,COP,3763.578992,2025-11-24 02:20:55,openexchangerates_api
34,CRC,500.12981,2025-11-24 02:20:55,openexchangerates_api
35,CUC,1.0,2025-11-24 02:20:55,openexchangerates_api
36,CUP,25.75,2025-11-24 02:20:55,openexchangerates_api
37,CVE,95.757724,2025-11-24 02:20:55,openexchangerates_api
38,CZK,21.0689,2025-11-24 02:20:55,openexchangerates_api
39,DJF,177.94184,2025-11-24 02:20:55,openexchangerates_api
40,DKK,6.49049,2025-11-24 02:20:55,openexchangerates_api
41,DOP,63.074249,2025-11-24 02:20:55,openexchangerates_api
42,DZD,130.696991,2025-11-24 02:20:55,openexchangerates_api
43,EGP,47.468335,2025-11-24 02:20:55,openexchangerates_api
44,ERN,15.0,2025-11-24 02:20:55,openexchangerates_api
45,ETB,154.668652,2025-11-24 02:20:55,openexchangerates_api
46,EUR,0.869012,2025-11-24 02:20:55,openexchangerates_api
47,FJD,2.29305,2025-11-24 02:20:55,openexchangerates_api
48,FKP,0.763591,2025-11-24 02:20:55,openexchangerates_api
49,GBP,0.763591,2025-11-24 02:20:55,openexchangerates_api
50,GEL,2.7,2025-11-24 02:20:55,openexchangerates_api
51,GGP,0.763591,2025-11-24 02:20:55,openexchangerates_api
52,GHS,11.111594,2025-11-24 02:20:55,openexchangerates_api
53,GIP,0.763591,2025-11-24 02:20:55,openexchangerates_api
54,GMD,73.500003,2025-11-24 02:20:55,openexchangerates_api
55,GNF,8679.05838,2025-11-24 02:20:55,openexchangerates_api
56,GTQ,7.656969,2025-11-24 02:20:55,openexchangerates_api
57,GYD,209.057766,2025-11-24 02:20:55,openexchangerates_api
58,HKD,7.782584,2025-11-24 02:20:55,openexchangerates_api
59,HNL,26.297004,2025-11-24 02:20:55,openexchangerates_api
60,HRK,6.547595,2025-11-24 02:20:55,openexchangerates_api
61,HTG,130.838029,2025-11-24 02:20:55,openexchangerates_api
62,HUF,333.7425,2025-11-24 02:20:55,openexchangerates_api
63,IDR,16689.732999,2025-11-24 02:20:55,openexchangerates_api
64,ILS,3.28229,2025-11-24 02:20:55,openexchangerates_api
65,IMP,0.763591,2025-11-24 02:20:55,openexchangerates_api
66,INR,89.63097,2025-11-24 02:20:55,openexchangerates_api
67,IQD,1308.989552,2025-11-24 02:20:55,openexchangerates_api
68,IRR,42100.0,2025-11-24 02:20:55,openexchangerates_api
69,ISK,127.618113,2025-11-24 02:20:55,openexchangerates_api
70,JEP,0.763591,2025-11-24 02:20:55,openexchangerates_api
71,JMD,160.686049,2025-11-24 02:20:55,openexchangerates_api
72,JOD,0.709,2025-11-24 02:20:55,openexchangerates_api
73,JPY,156.689,2025-11-24 02:20:55,openexchangerates_api
74,KES,129.330713,2025-11-24 02:20:55,openexchangerates_api
75,KGS,87.45,2025-11-24 02:20:55,openexchangerates_api
76,KHR,3996.490407,2025-11-24 02:20:55,openexchangerates_api
