order_id,item_id,order_status,customer_id,product_id,brand_id,category_id,store_id,staff_id,order_date,required_date,shipped_date,region_id,latency_days,Late_Deliveries,Locality_Flag,quantity,list_price,local_price,discount,total_amount_US,total_amount_EG
1,1,4,259,20,1,3,1,2,20160101,20160103,20160103,137,2.0,False,Non local,1,599.99,28480.52631665,0.2,119.998,5696.1052633300005
1,2,4,259,8,9,6,1,2,20160101,20160103,20160103,137,2.0,False,Non local,2,1799.99,85442.52831665,0.07,251.99860000000004,11961.953964331002
1,3,4,259,10,8,4,1,2,20160101,20160103,20160103,137,2.0,False,Non local,2,1549.0,73528.45091500001,0.05,154.9,7352.845091500001
1,4,4,259,16,1,3,1,2,20160101,20160103,20160103,137,2.0,False,Non local,2,599.99,28480.52631665,0.05,59.999,2848.0526316650003
1,5,4,259,4,9,6,1,2,20160101,20160103,20160103,137,2.0,False,Non local,1,2899.99,137657.69681665,0.2,579.9979999999999,27531.539363329997
2,1,4,1212,20,1,3,2,6,20160101,20160104,20160103,66,2.0,False,Non local,1,599.99,28480.52631665,0.07,41.999300000000005,1993.6368421655002
2,2,4,1212,16,1,3,2,6,20160101,20160104,20160103,66,2.0,False,Non local,2,599.99,28480.52631665,0.05,59.999,2848.0526316650003
3,1,4,523,3,8,6,2,7,20160102,20160105,20160103,126,1.0,False,Non local,1,999.99,47467.86031665,0.05,49.999500000000005,2373.3930158325
3,2,4,523,20,1,3,2,7,20160102,20160105,20160103,126,1.0,False,Non local,1,599.99,28480.52631665,0.05,29.9995,1424.0263158325001
4,1,4,175,2,5,6,1,3,20160103,20160104,20160105,68,2.0,True,Non local,2,749.99,35600.776566650005,0.1,149.99800000000002,7120.155313330001
5,1,4,1324,10,8,4,2,6,20160103,20160106,20160106,47,3.0,False,Non local,2,1549.0,73528.45091500001,0.05,154.9,7352.845091500001
5,2,4,1324,17,4,3,2,6,20160103,20160106,20160106,47,3.0,False,Non local,1,429.0,20363.915715000003,0.07,30.03,1425.4741000500003
5,3,4,1324,26,1,2,2,6,20160103,20160106,20160106,47,3.0,False,Non local,1,599.99,28480.52631665,0.07,41.999300000000005,1993.6368421655002
6,1,4,94,18,4,3,2,6,20160104,20160107,20160105,32,1.0,False,Non local,1,449.0,21313.282415,0.07,31.430000000000003,1491.9297690500002
6,2,4,94,12,1,3,2,6,20160104,20160107,20160105,32,1.0,False,Non local,2,549.99,26107.10956665,0.05,54.999,2610.710956665
6,3,4,94,20,1,3,2,6,20160104,20160107,20160105,32,1.0,False,Non local,1,599.99,28480.52631665,0.1,59.999,2848.0526316650003
6,4,4,94,3,8,6,2,6,20160104,20160107,20160105,32,1.0,False,Non local,2,999.99,47467.86031665,0.07,139.9986,6645.500444331001
6,5,4,94,9,9,5,2,6,20160104,20160107,20160105,32,1.0,False,Non local,2,2999.99,142404.53031665,0.07,419.9986,19936.634244331002
7,1,4,324,15,1,3,2,6,20160104,20160107,20160105,139,1.0,False,Non local,1,529.99,25157.74286665,0.07,37.09930000000001,1761.0420006655004
7,2,4,324,3,8,6,2,6,20160104,20160107,20160105,139,1.0,False,Non local,1,999.99,47467.86031665,0.1,99.99900000000001,4746.786031665
7,3,4,324,17,4,3,2,6,20160104,20160107,20160105,139,1.0,False,Non local,2,429.0,20363.915715000003,0.1,85.80000000000001,4072.7831430000006
8,1,4,1204,22,1,1,2,7,20160104,20160105,20160105,74,1.0,False,Non local,1,269.99,12815.97576665,0.05,13.499500000000001,640.7987883325001
8,2,4,1204,20,1,3,2,7,20160104,20160105,20160105,74,1.0,False,Non local,2,599.99,28480.52631665,0.07,83.99860000000001,3987.2736843310004
9,1,4,60,7,9,6,1,2,20160105,20160108,20160108,51,3.0,False,Non local,2,3999.99,189872.86531665,0.1,799.998,37974.57306333
10,1,4,442,14,1,3,2,6,20160105,20160106,20160106,166,1.0,False,Non local,1,269.99,12815.97576665,0.1,26.999000000000002,1281.5975766650001
11,1,4,1326,8,9,6,2,7,20160105,20160108,20160107,181,2.0,False,Non local,1,1799.99,85442.52831665,0.05,89.99950000000001,4272.1264158325
11,2,4,1326,22,1,1,2,7,20160105,20160108,20160107,181,2.0,False,Non local,2,269.99,12815.97576665,0.1,53.998000000000005,2563.1951533300003
11,3,4,1326,16,1,3,2,7,20160105,20160108,20160107,181,2.0,False,Non local,2,599.99,28480.52631665,0.2,239.996,11392.210526660001
12,1,4,91,4,9,6,1,2,20160106,20160108,20160109,71,3.0,True,Non local,2,2899.99,137657.69681665,0.1,579.9979999999999,27531.539363329997
12,2,4,91,11,8,4,1,2,20160106,20160108,20160109,71,3.0,True,Non local,1,1680.99,79793.79645165,0.05,84.04950000000001,3989.6898225825007
13,1,4,873,13,1,3,2,6,20160108,20160111,20160111,134,3.0,False,Non local,1,269.99,12815.97576665,0.1,26.999000000000002,1281.5975766650001
13,2,4,873,17,4,3,2,6,20160108,20160111,20160111,134,3.0,False,Non local,2,429.0,20363.915715000003,0.05,42.900000000000006,2036.3915715000003
13,3,4,873,20,1,3,2,6,20160108,20160111,20160111,134,3.0,False,Non local,2,599.99,28480.52631665,0.1,119.998,5696.1052633300005
13,4,4,873,16,1,3,2,6,20160108,20160111,20160111,134,3.0,False,Non local,2,599.99,28480.52631665,0.05,59.999,2848.0526316650003
14,1,4,258,6,8,6,1,3,20160109,20160111,20160112,28,3.0,True,Non local,1,469.99,22309.64276665,0.07,32.899300000000004,1561.6749936655
15,1,4,450,12,1,3,2,7,20160109,20160110,20160112,163,3.0,True,Non local,2,549.99,26107.10956665,0.07,76.99860000000001,3654.995339331
15,2,4,450,8,9,6,2,7,20160109,20160110,20160112,163,3.0,True,Non local,1,1799.99,85442.52831665,0.07,125.99930000000002,5980.976982165501
15,3,4,450,18,4,3,2,7,20160109,20160110,20160112,163,3.0,True,Non local,2,449.0,21313.282415,0.05,44.900000000000006,2131.3282415000003
15,4,4,450,23,1,1,2,7,20160109,20160110,20160112,163,3.0,True,Non local,2,299.99,14240.02581665,0.2,119.99600000000001,5696.010326660001
16,1,4,552,8,9,6,1,3,20160112,20160115,20160115,105,3.0,False,Non local,1,1799.99,85442.52831665,0.2,359.99800000000005,17088.50566333
16,2,4,552,21,1,1,1,3,20160112,20160115,20160115,105,3.0,False,Non local,1,269.99,12815.97576665,0.05,13.499500000000001,640.7987883325001
16,3,4,552,13,1,3,1,3,20160112,20160115,20160115,105,3.0,False,Non local,2,269.99,12815.97576665,0.07,37.79860000000001,1794.2366073310002
16,4,4,552,14,1,3,1,3,20160112,20160115,20160115,105,3.0,False,Non local,1,269.99,12815.97576665,0.07,18.899300000000004,897.1183036655001
17,1,4,1175,8,9,6,1,3,20160112,20160114,20160114,154,2.0,False,Non local,1,1799.99,85442.52831665,0.07,125.99930000000002,5980.976982165501
17,2,4,1175,23,1,1,1,3,20160112,20160114,20160114,154,2.0,False,Non local,1,299.99,14240.02581665,0.1,29.999000000000002,1424.0025816650002
17,3,4,1175,5,3,6,1,3,20160112,20160114,20160114,154,2.0,False,Non local,1,1320.99,62705.19585165,0.1,132.09900000000002,6270.5195851650005
