,order_id,item_id,product_id,quantity,list_price,discount,extracted_date,data_source,local_price
0,1,1,20,1,599.99,0.2,2025-11-24 02:06:42,mysql_database,28480.52631665
1,1,2,8,2,1799.99,0.07,2025-11-24 02:06:42,mysql_database,85442.52831665
2,1,3,10,2,1549.0,0.05,2025-11-24 02:06:42,mysql_database,73528.45091500001
3,1,4,16,2,599.99,0.05,2025-11-24 02:06:42,mysql_database,28480.52631665
4,1,5,4,1,2899.99,0.2,2025-11-24 02:06:42,mysql_database,137657.69681665
5,2,1,20,1,599.99,0.07,2025-11-24 02:06:42,mysql_database,28480.52631665
6,2,2,16,2,599.99,0.05,2025-11-24 02:06:42,mysql_database,28480.52631665
7,3,1,3,1,999.99,0.05,2025-11-24 02:06:42,mysql_database,47467.86031665
8,3,2,20,1,599.99,0.05,2025-11-24 02:06:42,mysql_database,28480.52631665
9,4,1,2,2,749.99,0.1,2025-11-24 02:06:42,mysql_database,35600.776566650005
10,5,1,10,2,1549.0,0.05,2025-11-24 02:06:42,mysql_database,73528.45091500001
11,5,2,17,1,429.0,0.07,2025-11-24 02:06:42,mysql_database,20363.915715000003
12,5,3,26,1,599.99,0.07,2025-11-24 02:06:42,mysql_database,28480.52631665
13,6,1,18,1,449.0,0.07,2025-11-24 02:06:42,mysql_database,21313.282415
14,6,2,12,2,549.99,0.05,2025-11-24 02:06:42,mysql_database,26107.10956665
15,6,3,20,1,599.99,0.1,2025-11-24 02:06:42,mysql_database,28480.52631665
16,6,4,3,2,999.99,0.07,2025-11-24 02:06:42,mysql_database,47467.86031665
17,6,5,9,2,2999.99,0.07,2025-11-24 02:06:42,mysql_database,142404.53031665
18,7,1,15,1,529.99,0.07,2025-11-24 02:06:42,mysql_database,25157.74286665
19,7,2,3,1,999.99,0.1,2025-11-24 02:06:42,mysql_database,47467.86031665
20,7,3,17,2,429.0,0.1,2025-11-24 02:06:42,mysql_database,20363.915715000003
21,8,1,22,1,269.99,0.05,2025-11-24 02:06:42,mysql_database,12815.97576665
22,8,2,20,2,599.99,0.07,2025-11-24 02:06:42,mysql_database,28480.52631665
23,9,1,7,2,3999.99,0.1,2025-11-24 02:06:42,mysql_database,189872.86531665002
24,10,1,14,1,269.99,0.1,2025-11-24 02:06:42,mysql_database,12815.97576665
25,11,1,8,1,1799.99,0.05,2025-11-24 02:06:42,mysql_database,85442.52831665
26,11,2,22,2,269.99,0.1,2025-11-24 02:06:42,mysql_database,12815.97576665
27,11,3,16,2,599.99,0.2,2025-11-24 02:06:42,mysql_database,28480.52631665
28,12,1,4,2,2899.99,0.1,2025-11-24 02:06:42,mysql_database,137657.69681665
29,12,2,11,1,1680.99,0.05,2025-11-24 02:06:42,mysql_database,79793.79645165
30,13,1,13,1,269.99,0.1,2025-11-24 02:06:42,mysql_database,12815.97576665
31,13,2,17,2,429.0,0.05,2025-11-24 02:06:42,mysql_database,20363.915715000003
32,13,3,20,2,599.99,0.1,2025-11-24 02:06:42,mysql_database,28480.52631665
33,13,4,16,2,599.99,0.05,2025-11-24 02:06:42,mysql_database,28480.52631665
34,14,1,6,1,469.99,0.07,2025-11-24 02:06:42,mysql_database,22309.642766650002
35,15,1,12,2,549.99,0.07,2025-11-24 02:06:42,mysql_database,26107.10956665
36,15,2,8,1,1799.99,0.07,2025-11-24 02:06:42,mysql_database,85442.52831665
37,15,3,18,2,449.0,0.05,2025-11-24 02:06:42,mysql_database,21313.282415
38,15,4,23,2,299.99,0.2,2025-11-24 02:06:42,mysql_database,14240.02581665
39,16,1,8,1,1799.99,0.2,2025-11-24 02:06:42,mysql_database,85442.52831665
40,16,2,21,1,269.99,0.05,2025-11-24 02:06:42,mysql_database,12815.97576665
41,16,3,13,2,269.99,0.07,2025-11-24 02:06:42,mysql_database,12815.97576665
42,16,4,14,1,269.99,0.07,2025-11-24 02:06:42,mysql_database,12815.97576665
43,17,1,8,1,1799.99,0.07,2025-11-24 02:06:42,mysql_database,85442.52831665
44,17,2,23,1,299.99,0.1,2025-11-24 02:06:42,mysql_database,14240.02581665
45,17,3,5,1,1320.99,0.1,2025-11-24 02:06:42,mysql_database,62705.19585165
46,17,4,20,2,599.99,0.2,2025-11-24 02:06:42,mysql_database,28480.52631665
47,18,1,2,2,749.99,0.2,2025-11-24 02:06:42,mysql_database,35600.776566650005
48,18,2,22,1,269.99,0.05,2025-11-24 02:06:42,mysql_database,12815.97576665
49,18,3,7,1,3999.99,0.1,2025-11-24 02:06:42,mysql_database,189872.86531665002
50,18,4,25,2,499.99,0.05,2025-11-24 02:06:42,mysql_database,23733.692816650004
51,18,5,9,2,2999.99,0.1,2025-11-24 02:06:42,mysql_database,142404.53031665
52,19,1,10,1,1549.0,0.07,2025-11-24 02:06:42,mysql_database,73528.45091500001
53,19,2,9,2,2999.99,0.2,2025-11-24 02:06:42,mysql_database,142404.53031665
