,product_id,product_name,brand_id,category_id,model_year,list_price,extracted_date,data_source,local_price
0,1,Trek 820 - 2016,9,6,2016,379.99,2025-11-24 02:47:01,from_csv_file,18037.49261665
1,2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2025-11-24 02:47:01,from_csv_file,35600.776566650005
2,3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2025-11-24 02:47:01,from_csv_file,47467.86031665
3,4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2025-11-24 02:47:01,from_csv_file,137657.69681665
4,5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2025-11-24 02:47:01,from_csv_file,62705.19585165
5,6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,2025-11-24 02:47:01,from_csv_file,22309.642766650002
6,7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2025-11-24 02:47:01,from_csv_file,189872.86531665002
7,8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2025-11-24 02:47:01,from_csv_file,85442.52831665
8,9,Trek Conduit+ - 2016,9,5,2016,2999.99,2025-11-24 02:47:01,from_csv_file,142404.53031665
9,10,Surly Straggler - 2016,8,4,2016,1549.0,2025-11-24 02:47:01,from_csv_file,73528.45091500001
10,11,Surly Straggler 650b - 2016,8,4,2016,1680.99,2025-11-24 02:47:01,from_csv_file,79793.79645165
11,12,Electra Townie Original 21D - 2016,1,3,2016,549.99,2025-11-24 02:47:01,from_csv_file,26107.10956665
12,13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2025-11-24 02:47:01,from_csv_file,12815.97576665
13,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2025-11-24 02:47:01,from_csv_file,12815.97576665
14,15,Electra Moto 1 - 2016,1,3,2016,529.99,2025-11-24 02:47:01,from_csv_file,25157.74286665
15,16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2025-11-24 02:47:01,from_csv_file,28480.52631665
16,17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2025-11-24 02:47:01,from_csv_file,20363.915715000003
17,18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,2025-11-24 02:47:01,from_csv_file,21313.282415
18,19,Pure Cycles William 3-Speed - 2016,4,3,2016,449.0,2025-11-24 02:47:01,from_csv_file,21313.282415
19,20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2025-11-24 02:47:01,from_csv_file,28480.52631665
20,21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2025-11-24 02:47:01,from_csv_file,12815.97576665
21,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2025-11-24 02:47:01,from_csv_file,12815.97576665
22,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2025-11-24 02:47:01,from_csv_file,14240.02581665
23,24,Electra Townie Original 21D - 2016,1,2,2016,549.99,2025-11-24 02:47:01,from_csv_file,26107.10956665
24,25,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,2025-11-24 02:47:01,from_csv_file,23733.692816650004
25,26,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,2025-11-24 02:47:01,from_csv_file,28480.52631665
26,27,Surly Big Dummy Frameset - 2017,8,6,2017,999.99,2025-11-24 02:47:01,from_csv_file,47467.86031665
27,28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2499.99,2025-11-24 02:47:01,from_csv_file,118670.36281665
28,29,Trek X-Caliber 8 - 2017,9,6,2017,999.99,2025-11-24 02:47:01,from_csv_file,47467.86031665
29,30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,999.99,2025-11-24 02:47:01,from_csv_file,47467.86031665
30,31,Surly Wednesday - 2017,8,6,2017,1632.99,2025-11-24 02:47:01,from_csv_file,77515.31637165001
31,32,Trek Farley Alloy Frameset - 2017,9,6,2017,469.99,2025-11-24 02:47:01,from_csv_file,22309.642766650002
32,33,Surly Wednesday Frameset - 2017,8,6,2017,469.99,2025-11-24 02:47:01,from_csv_file,22309.642766650002
33,34,Trek Session DH 27.5 Carbon Frameset - 2017,9,6,2017,469.99,2025-11-24 02:47:01,from_csv_file,22309.642766650002
34,35,Sun Bicycles Spider 3i - 2017,7,6,2017,832.99,2025-11-24 02:47:01,from_csv_file,39540.64837165
35,36,Surly Troll Frameset - 2017,8,6,2017,832.99,2025-11-24 02:47:01,from_csv_file,39540.64837165
36,37,Haro Flightline One ST - 2017,2,6,2017,379.99,2025-11-24 02:47:01,from_csv_file,18037.49261665
37,38,Haro Flightline Two 26 Plus - 2017,2,6,2017,549.99,2025-11-24 02:47:01,from_csv_file,26107.10956665
38,39,Trek Stache 5 - 2017,9,6,2017,1499.99,2025-11-24 02:47:01,from_csv_file,71202.02781665
39,40,Trek Fuel EX 9.8 29 - 2017,9,6,2017,4999.99,2025-11-24 02:47:01,from_csv_file,237341.20031665
